  205.04	2.388e+4		1.534e+4		7.195e+0		7.638e+3	4.347e+1	9.532e+1	7.518e+2	
  205.14	3.603e+4		2.682e+4		1.904e+0		8.028e+3	8.256e+1	1.015e+2	9.994e+2	
  205.23	4.952e+4		4.015e+4		5.216e-1		7.965e+3	1.409e+2	1.053e+2	1.167e+3	
  205.32	6.394e+4		5.480e+4		1.300e-1		7.568e+3	2.293e+2	1.073e+2	1.237e+3	
  205.42	7.827e+4		6.976e+4		2.486e-2		6.859e+3	3.691e+2	1.079e+2	1.180e+3	
  205.51	8.717e+4		7.942e+4		5.070e-3		6.087e+3	5.306e+2	1.083e+2	1.022e+3	
  205.60	9.101e+4		8.412e+4		9.394e-4		5.263e+3	7.139e+2	1.100e+2	8.034e+2	
  205.70	9.012e+4		8.417e+4		1.307e-4		4.373e+3	9.161e+2	1.144e+2	5.497e+2	
  205.79	8.695e+4		8.172e+4		3.234e-5		3.696e+3	1.066e+3	1.204e+2	3.530e+2	
  205.88	8.410e+4		7.936e+4		8.555e-5		3.249e+3	1.157e+3	1.265e+2	2.059e+2	
  205.98	8.310e+4		7.857e+4		5.888e-4		3.135e+3	1.171e+3	1.305e+2	1.011e+2	
  206.07	8.411e+4		7.941e+4		3.111e-3		3.420e+3	1.103e+3	1.294e+2	4.814e+1	
  206.16	8.561e+4		8.046e+4		1.497e-2		4.032e+3	9.726e+2	1.229e+2	2.083e+1	
  206.26	8.589e+4		8.003e+4		7.682e-2		4.966e+3	7.814e+2	1.101e+2	7.334e+0	
  206.35	8.362e+4		7.705e+4		3.031e-1		5.879e+3	5.970e+2	9.573e+1	2.591e+0	
  206.44	7.851e+4		7.129e+4		1.089e+0		6.718e+3	4.248e+2	8.083e+1	8.315e-1	
  206.54	6.976e+4		6.199e+4		4.039e+0		7.436e+3	2.669e+2	6.600e+1	2.119e-1	
  206.63	5.982e+4		5.177e+4		1.190e+1		7.812e+3	1.619e+2	5.549e+1	6.415e-2	
  206.72	4.887e+4		4.080e+4		3.191e+1		7.894e+3	9.062e+1	4.786e+1	5.243e-2	
  206.82	3.680e+4		2.900e+4		8.553e+1		7.635e+3	4.313e+1	4.195e+1	1.809e-1	
  206.91	2.712e+4		1.975e+4		1.881e+2		7.125e+3	2.020e+1	3.765e+1	6.316e-1	
  207.00	1.928e+4	1.174e-15	1.243e+4		3.766e+2		6.430e+3	8.663e+0	3.319e+1	2.032e+0	
  207.10	1.307e+4	1.979e-14	6.735e+3		7.295e+2		5.568e+3	3.046e+0	2.736e+1	6.675e+0	
  207.19	9.608e+3	2.215e-13	3.540e+3		1.198e+3		4.830e+3	1.082e+0	2.149e+1	1.764e+1	
  207.28	7.764e+3	2.262e-12	1.701e+3		1.791e+3		4.214e+3	3.591e-1	1.570e+1	4.245e+1	
  207.38	7.027e+3	2.686e-11	6.765e+2		2.509e+3		3.730e+3	1.297e-1	1.033e+1	1.009e+2	
  207.47	7.040e+3	2.261e-10	2.676e+2		3.080e+3		3.486e+3	1.549e-1	7.257e+0	1.994e+2	
  207.56	7.316e+3	1.736e-9	9.643e+1		3.449e+3		3.404e+3	3.996e-1	6.637e+0	3.586e+2	
  207.66	7.638e+3	1.502e-8	2.778e+1		3.527e+3		3.455e+3	1.220e+0	1.030e+1	6.172e+2	
  207.75	7.815e+3	9.509e-8	8.206e+0		3.305e+3		3.567e+3	3.112e+0	1.995e+1	9.114e+2	
  207.84	7.861e+3	5.493e-7	2.205e+0		2.913e+3		3.673e+3	7.377e+0	3.948e+1	1.226e+3	
  207.94	7.807e+3	3.464e-6	4.583e-1		2.466e+3		3.715e+3	1.770e+1	7.891e+1	1.529e+3	
  208.03	7.748e+3	1.650e-5	1.009e-1		2.216e+3		3.666e+3	3.618e+1	1.359e+2	1.694e+3	
  208.12	7.776e+3	7.170e-5	2.018e-2		2.198e+3		3.576e+3	6.917e+1	2.158e+2	1.718e+3	
